"code","name","population","state"
"C01001","Aguascalientes",797010,"S01"
"C01002","Asientos",45492,"S01"
"C01003","Calvillo",54136,"S01"
"C01004","Cosío",15042,"S01"
"C01005","Jesús María",99590,"S01"
"C01006","Pabellón de Arteaga",41862,"S01"
"C01007","Rincón de Romos",49156,"S01"
"C01008","San José de Gracia",8443,"S01"
"C01009","Tepezalá",19668,"S01"
"C01010","El Llano",18828,"S01"
"C01011","San Francisco de los Romo",35769,"S01"
"C02001","Ensenada",466814,"S02"
"C02002","Mexicali",936826,"S02"
"C02003","Tecate",101079,"S02"
"C02004","Tijuana",1559683,"S02"
"C02005","Playas de Rosarito",90668,"S02"
"C03001","Comondú",70816,"S03"
"C03002","Mulegé",59114,"S03"
"C03003","La Paz",251871,"S03"
"C03008","Los Cabos",238487,"S03"
"C03009","Loreto",16738,"S03"
"C04001","Calkiní",52890,"S04"
"C04002","Campeche",259005,"S04"
"C04003","Carmen",221094,"S04"
"C04004","Champotón",83021,"S04"
"C04005","Hecelchakán",28306,"S04"
"C04006","Hopelchén",37777,"S04"
"C04007","Palizada",8352,"S04"
"C04008","Tenabo",9736,"S04"
"C04009","Escárcega",54184,"S04"
"C04010","Calakmul",26882,"S04"
"C04011","Candelaria",41194,"S04"
"C05001","Abasolo",1070,"S05"
"C05002","Acuña",136755,"S05"
"C05003","Allende",22675,"S05"
"C05004","Arteaga",22544,"S05"
"C05005","Candela",1808,"S05"
"C05006","Castaños",25892,"S05"
"C05007","Cuatro Ciénegas",13013,"S05"
"C05008","Escobedo",2901,"S05"
"C05009","Francisco I. Madero",55676,"S05"
"C05010","Frontera",75215,"S05"
"C05011","General Cepeda",11682,"S05"
"C05012","Guerrero",2091,"S05"
"C05013","Hidalgo",1852,"S05"
"C05014","Jiménez",9935,"S05"
"C05015","Juárez",1599,"S05"
"C05016","Lamadrid",1835,"S05"
"C05017","Matamoros",107160,"S05"
"C05018","Monclova",216206,"S05"
"C05019","Morelos",8207,"S05"
"C05020","Múzquiz",66834,"S05"
"C05021","Nadadores",6335,"S05"
"C05022","Nava",27928,"S05"
"C05023","Ocampo",10991,"S05"
"C05024","Parras",45401,"S05"
"C05025","Piedras Negras",152806,"S05"
"C05026","Progreso",3473,"S05"
"C05027","Ramos Arizpe",75461,"S05"
"C05028","Sabinas",60847,"S05"
"C05029","Sacramento",2314,"S05"
"C05030","Saltillo",725123,"S05"
"C05031","San Buenaventura",22149,"S05"
"C05032","San Juan de Sabinas",41649,"S05"
"C05033","San Pedro",102650,"S05"
"C05034","Sierra Mojada",6375,"S05"
"C05035","Torreón",639629,"S05"
"C05036","Viesca",21319,"S05"
"C05037","Villa Unión",6289,"S05"
"C05038","Zaragoza",12702,"S05"
"C06001","Armería",28695,"S06"
"C06002","Colima",146904,"S06"
"C06003","Comala",20888,"S06"
"C06004","Coquimatlán",19385,"S06"
"C06005","Cuauhtémoc",27107,"S06"
"C06006","Ixtlahuacán",5300,"S06"
"C06007","Manzanillo",161420,"S06"
"C06008","Minatitlán",8174,"S06"
"C06009","Tecomán",112726,"S06"
"C06010","Villa de Álvarez",119956,"S06"
"C07001","Acacoyagua",16814,"S07"
"C07002","Acala",28947,"S07"
"C07003","Acapetahua",27580,"S07"
"C07004","Altamirano",29865,"S07"
"C07005","Amatán",21275,"S07"
"C07006","Amatenango de la Frontera",29547,"S07"
"C07007","Amatenango del Valle",8728,"S07"
"C07008","Angel Albino Corzo",26628,"S07"
"C07009","Arriaga",40042,"S07"
"C07010","Bejucal de Ocampo",7623,"S07"
"C07011","Bella Vista",19281,"S07"
"C07012","Berriozábal",43179,"S07"
"C07013","Bochil",30642,"S07"
"C07014","El Bosque",18559,"S07"
"C07015","Cacahoatán",43811,"S07"
"C07016","Catazajá",17140,"S07"
"C07017","Cintalapa",78114,"S07"
"C07018","Coapilla",8444,"S07"
"C07019","Comitán de Domínguez",141013,"S07"
"C07020","La Concordia",44082,"S07"
"C07021","Copainalá",21050,"S07"
"C07022","Chalchihuitán",14027,"S07"
"C07023","Chamula",76941,"S07"
"C07024","Chanal",10817,"S07"
"C07025","Chapultenango",7332,"S07"
"C07026","Chenalhó",36111,"S07"
"C07027","Chiapa de Corzo",87603,"S07"
"C07028","Chiapilla",5405,"S07"
"C07029","Chicoasén",5018,"S07"
"C07030","Chicomuselo",31515,"S07"
"C07031","Chilón",111554,"S07"
"C07032","Escuintla",30068,"S07"
"C07033","Francisco León",7000,"S07"
"C07034","Frontera Comalapa",67012,"S07"
"C07035","Frontera Hidalgo",12665,"S07"
"C07036","La Grandeza",7272,"S07"
"C07037","Huehuetán",33444,"S07"
"C07038","Huixtán",21507,"S07"
"C07039","Huitiupán",22536,"S07"
"C07040","Huixtla",51359,"S07"
"C07041","La Independencia",41266,"S07"
