municipality,state,code,variable,min_precipitation,max_precipitation
Aguascalientes,Aguascalientes,C01001,Rango de precipitación,400,700
Asientos,Aguascalientes,C01002,Rango de precipitación,400,600
Calvillo,Aguascalientes,C01003,Rango de precipitación,500,800
Cosío,Aguascalientes,C01004,Rango de precipitación,400,600
Jesús María,Aguascalientes,C01005,Rango de precipitación,500,700
Pabellón de Arteaga,Aguascalientes,C01006,Rango de precipitación,400,600
Rincón de Romos,Aguascalientes,C01007,Rango de precipitación,400,600
San José de Gracia,Aguascalientes,C01008,Rango de precipitación,400,800
Tepezalá,Aguascalientes,C01009,Rango de precipitación,400,600
El Llano,Aguascalientes,C01010,Rango de precipitación,400,600
San Francisco de los Romo,Aguascalientes,C01011,Rango de precipitación,400,600
Ensenada,Baja California,C02001,Rango de precipitación,Menos de 100,500
Mexicali,Baja California,C02002,Rango de precipitación,Menos de 100,400
Tecate,Baja California,C02003,Rango de precipitación,100,500
Tijuana,Baja California,C02004,Rango de precipitación,100,300
Playas de Rosarito,Baja California,C02005,Rango de precipitación,200,300
Comondú,Baja California Sur,C03001,Rango de precipitación,Menos de 100,400
Mulegé,Baja California Sur,C03002,Rango de precipitación,Menos de 100,300
La Paz,Baja California Sur,C03003,Rango de precipitación,Menos de 100,600
Los Cabos,Baja California Sur,C03008,Rango de precipitación,200,600
Loreto,Baja California Sur,C03009,Rango de precipitación,Menos de 100,400
Calkiní,Campeche,C04001,Rango de precipitación,700,1100
Campeche,Campeche,C04002,Rango de precipitación,1000,1200
Carmen,Campeche,C04003,Rango de precipitación,1500,1000
Champotón,Campeche,C04004,Rango de precipitación,1000,1500
Hecelchakán,Campeche,C04005,Rango de precipitación,800,1100
Hopelchén,Campeche,C04006,Rango de precipitación,800,1000
Palizada,Campeche,C04007,Rango de precipitación,1500,2000
Tenabo,Campeche,C04008,Rango de precipitación,1000,1100
Escárcega,Campeche,C04009,Rango de precipitación,1100,1500
Calakmul,Campeche,C04010,Rango de precipitación,1000,1500
Candelaria,Campeche,C04011,Rango de precipitación,1200,2000
Abasolo,Coahuila de Zaragoza,C05001,Rango de precipitación,300,500
Acuña,Coahuila de Zaragoza,C05002,Rango de precipitación,200,600
Allende,Coahuila de Zaragoza,C05003,Rango de precipitación,300,500
