municipality,state,code,variable,min_temperature,max_temperature
Aguascalientes,Aguascalientes,C01001,Rango de temperatura,16,20
Asientos,Aguascalientes,C01002,Rango de temperatura,16,18
Calvillo,Aguascalientes,C01003,Rango de temperatura,14,22
Cosío,Aguascalientes,C01004,Rango de temperatura,14,18
Jesús María,Aguascalientes,C01005,Rango de temperatura,14,20
Pabellón de Arteaga,Aguascalientes,C01006,Rango de temperatura,15,17
Rincón de Romos,Aguascalientes,C01007,Rango de temperatura,15,17
San José de Gracia,Aguascalientes,C01008,Rango de temperatura,12,18
Tepezalá,Aguascalientes,C01009,Rango de temperatura,16,18
El Llano,Aguascalientes,C01010,Rango de temperatura,15,17
San Francisco de los Romo,Aguascalientes,C01011,Rango de temperatura,16,20
Ensenada,Baja California,C02001,Rango de temperatura,6,22
Mexicali,Baja California,C02002,Rango de temperatura,8,24
Tecate,Baja California,C02003,Rango de temperatura,10,22
Tijuana,Baja California,C02004,Rango de temperatura,14,16
Playas de Rosarito,Baja California,C02005,Rango de temperatura,14,16
Comondú,Baja California Sur,C03001,Rango de temperatura,16,22
Mulegé,Baja California Sur,C03002,Rango de temperatura,14,24
La Paz,Baja California Sur,C03003,Rango de temperatura,14,24
Los Cabos,Baja California Sur,C03008,Rango de temperatura,14,24
Loreto,Baja California Sur,C03009,Rango de temperatura,14,22
Calkiní,Campeche,C04001,Rango de temperatura,26,28
Campeche,Campeche,C04002,Rango de temperatura,26,28
Carmen,Campeche,C04003,Rango de temperatura,26,28
Champotón,Campeche,C04004,Rango de temperatura,26,28
Hecelchakán,Campeche,C04005,Rango de temperatura,26,28
Hopelchén,Campeche,C04006,Rango de temperatura,26,28
Palizada,Campeche,C04007,Rango de temperatura,26,28
Tenabo,Campeche,C04008,Rango de temperatura,26,28
Escárcega,Campeche,C04009,Rango de temperatura,26,28
Calakmul,Campeche,C04010,Rango de temperatura,24,28
Candelaria,Campeche,C04011,Rango de temperatura,24,28
Abasolo,Coahuila de Zaragoza,C05001,Rango de temperatura,16,24
Acuña,Coahuila de Zaragoza,C05002,Rango de temperatura,12,22
Allende,Coahuila de Zaragoza,C05003,Rango de temperatura,20,24
Arteaga,Coahuila de Zaragoza,C05004,Rango de temperatura,8,20
Candela,Coahuila de Zaragoza,C05005,Rango de temperatura,14,24
Castaños,Coahuila de Zaragoza,C05006,Rango de temperatura,14,22
Cuatro Ciénegas,Coahuila de Zaragoza,C05007,Rango de temperatura,12,22
Escobedo,Coahuila de Zaragoza,C05008,Rango de temperatura,18,24
Francisco I Madero,Coahuila de Zaragoza,C05009,Rango de temperatura,14,20
Frontera,Coahuila de Zaragoza,C05010,Rango de temperatura,18,22
General Cepeda,Coahuila de Zaragoza,C05011,Rango de temperatura,8,22
Guerrero,Coahuila de Zaragoza,C05012,Rango de temperatura,20,24
Hidalgo,Coahuila de Zaragoza,C05013,Rango de temperatura,20,24
Jiménez,Coahuila de Zaragoza,C05014,Rango de temperatura,20,24
Juárez,Coahuila de Zaragoza,C05015,Rango de temperatura,20,24
Lamadrid,Coahuila de Zaragoza,C05016,Rango de temperatura,14,22
Matamoros,Coahuila de Zaragoza,C05017,Rango de temperatura,18,22
Monclova,Coahuila de Zaragoza,C05018,Rango de temperatura,14,22
Morelos,Coahuila de Zaragoza,C05019,Rango de temperatura,20,24
Múzquiz,Coahuila de Zaragoza,C05020,Rango de temperatura,14,22
Nadadores,Coahuila de Zaragoza,C05021,Rango de temperatura,16,22
Nava,Coahuila de Zaragoza,C05022,Rango de temperatura,20,24
Ocampo,Coahuila de Zaragoza,C05023,Rango de temperatura,12,22
Parras,Coahuila de Zaragoza,C05024,Rango de temperatura,12,22
Piedras Negras,Coahuila de Zaragoza,C05025,Rango de temperatura,20,24
Progreso,Coahuila de Zaragoza,C05026,Rango de temperatura,16,24
Ramos Arizpe,Coahuila de Zaragoza,C05027,Rango de temperatura,12,22
Sabinas,Coahuila de Zaragoza,C05028,Rango de temperatura,20,24
Sacramento,Coahuila de Zaragoza,C05029,Rango de temperatura,18,22
Saltillo,Coahuila de Zaragoza,C05030,Rango de temperatura,8,22
San Buenaventura,Coahuila de Zaragoza,C05031,Rango de temperatura,14,22
San Juan de Sabinas,Coahuila de Zaragoza,C05032,Rango de temperatura,20,24
San Pedro,Coahuila de Zaragoza,C05033,Rango de temperatura,14,22
Sierra Mojada,Coahuila de Zaragoza,C05034,Rango de temperatura,14,22
Torreón,Coahuila de Zaragoza,C05035,Rango de temperatura,14,22
Viesca,Coahuila de Zaragoza,C05036,Rango de temperatura,14,22
Villa Unión,Coahuila de Zaragoza,C05037,Rango de temperatura,20,24
Zaragoza,Coahuila de Zaragoza,C05038,Rango de temperatura,16,24
Armería,Colima,C06001,Rango de temperatura,22,28
Colima,Colima,C06002,Rango de temperatura,22,28
Comala,Colima,C06003,Rango de temperatura,10,26
Coquimatlán,Colima,C06004,Rango de temperatura,18,28
Cuauhtémoc,Colima,C06005,Rango de temperatura,14,26
Ixtlahuacán,Colima,C06006,Rango de temperatura,22,28
Manzanillo,Colima,C06007,Rango de temperatura,18,28
Minatitlán,Colima,C06008,Rango de temperatura,16,26
Tecomán,Colima,C06009,Rango de temperatura,22,28
Villa de Álvarez,Colima,C06010,Rango de temperatura,18,26
Acacoyagua,Chiapas,C07001,Rango de temperatura,14,30
Acala,Chiapas,C07002,Rango de temperatura,20,28
Acapetahua,Chiapas,C07003,Rango de temperatura,26,30
Altamirano,Chiapas,C07004,Rango de temperatura,16,26
Amatán,Chiapas,C07005,Rango de temperatura,18,26
Amatenango de la Frontera,Chiapas,C07006,Rango de temperatura,16,24
Amatenango del Valle,Chiapas,C07007,Rango de temperatura,14,24
