municipality,state,code,variable,value
Los Cabos,Baja California Sur,Coutput/pdfs/03008,"Rango de temperatura","14 – 24°C"
Los Cabos,Baja California Sur,Coutput/pdfs/03008,"Rango de precipitación","200 - 600 mm"
Aguascalientes,Aguascalientes,Coutput/pdfs/01001,"Rango de temperatura","16-20 °C"
Aguascalientes,Aguascalientes,Coutput/pdfs/01001,"Rango de precipitación","400-700 mm"
Asientos,Aguascalientes,Coutput/pdfs/01002,"Rango de temperatura","16-18°C"
Asientos,Aguascalientes,Coutput/pdfs/01002,"Rango de precipitación","400-600 mm"
Calvillo,Aguascalientes,Coutput/pdfs/01003,"Rango de temperatura","14-22 °C"
Calvillo,Aguascalientes,Coutput/pdfs/01003,"Rango de precipitación","500-800"
Cosío,Aguascalientes,Coutput/pdfs/01004,"Rango de temperatura","14-18°C"
Cosío,Aguascalientes,Coutput/pdfs/01004,"Rango de precipitación","400-600"
Jesús María,Aguascalientes,Coutput/pdfs/01005,"Rango de temperatura","14-20 °C"
Jesús María,Aguascalientes,Coutput/pdfs/01005,"Rango de precipitación","500-700 mm"
Pabellón de Arteaga,Aguascalientes,Coutput/pdfs/01006,"Rango de temperatura","15-17 °C"
Pabellón de Arteaga,Aguascalientes,Coutput/pdfs/01006,"Rango de precipitación","400-600 mm"
Rincón de Romos,Aguascalientes,Coutput/pdfs/01007,"Rango de temperatura","15-17 °C"
Rincón de Romos,Aguascalientes,Coutput/pdfs/01007,"Rango de precipitación","400-600 mm"
San José de Gracia,Aguascalientes,Coutput/pdfs/01008,"Rango de temperatura","12-18 °C"
San José de Gracia,Aguascalientes,Coutput/pdfs/01008,"Rango de precipitación","400-800 mm"
Tepezalá,Aguascalientes,Coutput/pdfs/01009,"Rango de temperatura","16-18 °C"
Tepezalá,Aguascalientes,Coutput/pdfs/01009,"Rango de precipitación","400-600 mm"
El Llano,Aguascalientes,Coutput/pdfs/01010,"Rango de temperatura","15-17 °C"
El Llano,Aguascalientes,Coutput/pdfs/01010,"Rango de precipitación","400-600 mm"
San Francisco de los Romo,Aguascalientes,Coutput/pdfs/01011,"Rango de temperatura","16-20 °C"
San Francisco de los Romo,Aguascalientes,Coutput/pdfs/01011,"Rango de precipitación","400-600 mm"
Ensenada,Baja California,Coutput/pdfs/02001,"Rango de temperatura","6 - 22°C"
Ensenada,Baja California,Coutput/pdfs/02001,"Rango de precipitación","Menos de 100 - 500 mm"
Mexicali,Baja California,Coutput/pdfs/02002,"Rango de temperatura","8 - 24°C"
Mexicali,Baja California,Coutput/pdfs/02002,"Rango de precipitación","Menos de 100 - 400 mm"
Tecate,Baja California,Coutput/pdfs/02003,"Rango de temperatura","10 - 22°C"
Tecate,Baja California,Coutput/pdfs/02003,"Rango de precipitación","100 - 500 mm"
Tijuana,Baja California,Coutput/pdfs/02004,"Rango de temperatura","14 - 16°C"
Tijuana,Baja California,Coutput/pdfs/02004,"Rango de precipitación","100 - 300 mm"
Playas de Rosarito,Baja California,Coutput/pdfs/02005,"Rango de temperatura","14 - 16°C"
Playas de Rosarito,Baja California,Coutput/pdfs/02005,"Rango de precipitación","200 - 300 mm"
Comondú,Baja California Sur,Coutput/pdfs/03001,"Rango de temperatura","16 – 22°C"
Comondú,Baja California Sur,Coutput/pdfs/03001,"Rango de precipitación","Menos de 100 - 400 mm"
Mulegé,Baja California Sur,Coutput/pdfs/03002,"Rango de temperatura","14 - 24 °C"
Mulegé,Baja California Sur,Coutput/pdfs/03002,"Rango de precipitación","Menos de 100 - 300 mm"
La Paz,Baja California Sur,Coutput/pdfs/03003,"Rango de temperatura","14 – 24°C"
La Paz,Baja California Sur,Coutput/pdfs/03003,"Rango de precipitación","Menos de 100 - 600 mm"
Los Cabos,Baja California Sur,Coutput/pdfs/03008,"Rango de temperatura","14 – 24°C"
Los Cabos,Baja California Sur,Coutput/pdfs/03008,"Rango de precipitación","200 - 600 mm"
Loreto,Baja California Sur,Coutput/pdfs/03009,"Rango de temperatura","14 – 22°C"
Loreto,Baja California Sur,Coutput/pdfs/03009,"Rango de precipitación","Menos de 100 - 400 mm"
Calkiní,Campeche,Coutput/pdfs/04001,"Rango de temperatura","26° - 28°C"
