municipality,state,code,variable,min_precipitation,max_precipitation
Los Cabos,Baja California Sur,Coutput/pdfs/03008,"Rango de precipitación","200,600 "
Aguascalientes,Aguascalientes,Coutput/pdfs/01001,"Rango de precipitación","400,700 "
Asientos,Aguascalientes,Coutput/pdfs/01002,"Rango de precipitación","400,600 "
Calvillo,Aguascalientes,Coutput/pdfs/01003,"Rango de precipitación","500,800"
Cosío,Aguascalientes,Coutput/pdfs/01004,"Rango de precipitación","400,600"
Jesús María,Aguascalientes,Coutput/pdfs/01005,"Rango de precipitación","500,700 "
Pabellón de Arteaga,Aguascalientes,Coutput/pdfs/01006,"Rango de precipitación","400,600 "
Rincón de Romos,Aguascalientes,Coutput/pdfs/01007,"Rango de precipitación","400,600 "
San José de Gracia,Aguascalientes,Coutput/pdfs/01008,"Rango de precipitación","400,800 "
Tepezalá,Aguascalientes,Coutput/pdfs/01009,"Rango de precipitación","400,600 "
El Llano,Aguascalientes,Coutput/pdfs/01010,"Rango de precipitación","400,600 "
San Francisco de los Romo,Aguascalientes,Coutput/pdfs/01011,"Rango de precipitación","400,600 "
Ensenada,Baja California,Coutput/pdfs/02001,"Rango de precipitación","Menos de 100,500 "
Mexicali,Baja California,Coutput/pdfs/02002,"Rango de precipitación","Menos de 100,400 "
Tecate,Baja California,Coutput/pdfs/02003,"Rango de precipitación","100,500 "
Tijuana,Baja California,Coutput/pdfs/02004,"Rango de precipitación","100,300 "
Playas de Rosarito,Baja California,Coutput/pdfs/02005,"Rango de precipitación","200,300 "
Comondú,Baja California Sur,Coutput/pdfs/03001,"Rango de precipitación","Menos de 100,400 "
Mulegé,Baja California Sur,Coutput/pdfs/03002,"Rango de precipitación","Menos de 100,300 "
La Paz,Baja California Sur,Coutput/pdfs/03003,"Rango de precipitación","Menos de 100,600 "
Los Cabos,Baja California Sur,Coutput/pdfs/03008,"Rango de precipitación","200,600 "
Loreto,Baja California Sur,Coutput/pdfs/03009,"Rango de precipitación","Menos de 100,400 "
Calkiní,Campeche,Coutput/pdfs/04001,"Rango de precipitación","700,1100 "
Campeche,Campeche,Coutput/pdfs/04002,"Rango de precipitación","1000,1200 "
Carmen,Campeche,Coutput/pdfs/04003,"Rango de precipitación","1500,1000 "
Champotón,Campeche,Coutput/pdfs/04004,"Rango de precipitación","1000,1500 "
Hecelchakán,Campeche,Coutput/pdfs/04005,"Rango de precipitación","800,1100 "
